datetime,symbol,_id,timestamp,exchange,inserted_datetime,interval,longAccount,long_OI,long_OI_change,long_OI_pct_change,sumOpenInterest,sumOpenInterestValue,sum_OI_change,sum_OI_pct_change,open,high,low,close,volume,price_change,price_pct_change
2024-08-08 12:30:00,ILVUSDT,66b4f47d74a4db6d2d43538b,1723120200000,Binance,2024-08-09 00:37:23,15m,0.6341,36939.30527,89.22485,0.0024212932,58254.7,2442619.571,67.3,0.0011566078,41.94,42.59,41.94,42.54,879.2,0.6000000000000014,0.0143061516452074
2024-08-08 12:45:00,ILVUSDT,66b4f47d74a4db6d2d435395,1723121100000,Binance,2024-08-09 00:37:23,15m,0.6439,37597.44978,658.14451,0.0178169163,58390.2,2490221.76779237,135.5,0.0023259926,42.63,42.69,42.47,42.54,132.1,-0.0900000000000034,-0.0021111893033076
2024-08-08 13:00:00,ILVUSDT,66b4c4cf74a4db6d2d3e1ea8,1723122000000,Binance,2024-08-09 00:37:23,15m,0.6481,38162.59078,565.141,0.0150313652,58883.8,2488586.86506821,493.6,0.0084534734,42.27,42.37,42.26,42.3,174.7,0.029999999999994,0.0007097232079487
2024-08-08 13:15:00,ILVUSDT,66b4f47d74a4db6d2d435398,1723122900000,Binance,2024-08-09 00:37:23,15m,0.6473,38109.52858,-53.0622,-0.0013904245,58874.6,2489893.08823273,-9.2,-0.0001562399,42.27,42.36,42.24,42.36,37.6,0.0899999999999963,0.0021291696238466
2024-08-08 13:30:00,ILVUSDT,66b4f47e74a4db6d2d43539b,1723123800000,Binance,2024-08-09 00:37:23,15m,0.6441,37872.04944,-237.47914,-0.0062314898,58798.4,2490700.224,-76.2,-0.0012942763,42.35,42.38,42.3,42.34,51.2,-0.009999999999998,-0.0002361275088547
2024-08-08 13:45:00,ILVUSDT,66b4f47e74a4db6d2d43539d,1723124700000,Binance,2024-08-09 00:37:23,15m,0.6453,37915.76304,43.7136,0.0011542444,58756.8,2471193.23939549,-41.6,-0.0007075022,42.04,42.14,42.04,42.09,45.8,0.0500000000000042,0.0011893434823978
2024-08-08 14:00:00,ILVUSDT,66b4f47e74a4db6d2d43539f,1723125600000,Binance,2024-08-09 00:37:23,15m,0.6483,38011.83873,96.07569,0.0025339247,58633.1,2453795.235,-123.7,-0.0021052882,41.85,41.86,41.75,41.85,90.8,0.0,0.0
2024-08-08 14:15:00,ILVUSDT,66b4f47e74a4db6d2d4353a1,1723126500000,Binance,2024-08-09 00:37:23,15m,0.6473,37977.28519,-34.55354,-0.0009090205,58670.3,2469983.49085531,37.2,0.0006344539,42.1,42.18,42.09,42.13,109.7,0.0300000000000011,0.0007125890736342
2024-08-08 14:30:00,ILVUSDT,66b4f47e74a4db6d2d4353a3,1723127400000,Binance,2024-08-09 00:37:23,15m,0.6378,37319.2725,-658.01269,-0.0173264805,58512.5,2489259.2754395,-157.8,-0.0026896062,42.53,42.55,42.49,42.51,35.1,-0.0200000000000031,-0.0004702562896779
2024-08-08 14:45:00,ILVUSDT,66b4f47e74a4db6d2d4353a5,1723128300000,Binance,2024-08-09 00:37:23,15m,0.6409,37399.01451,79.74201,0.0021367515,58353.9,2486459.679,-158.6,-0.0027105319,42.59,42.63,42.51,42.51,46.8,-0.0800000000000054,-0.0018783752054474
2024-08-08 15:00:00,ILVUSDT,66b4f47e74a4db6d2d4353a7,1723129200000,Binance,2024-08-09 00:37:23,15m,0.6532,38216.64176,817.62725,0.0218622672,58506.8,2499367.93347314,152.9,0.002620219,42.71,42.72,42.62,42.69,281.8,-0.0200000000000031,-0.0004682744088036
2024-08-08 15:15:00,ILVUSDT,66b4f47e74a4db6d2d4353b4,1723130100000,Binance,2024-08-09 00:37:23,15m,0.6477,37598.14299,-618.49877,-0.0161840167,58048.7,2471133.159,-458.1,-0.0078298591,42.55,42.55,42.49,42.49,92.5,-0.0599999999999951,-0.0014101057579317
2024-08-08 15:30:00,ILVUSDT,66b4f47e74a4db6d2d4353bc,1723131000000,Binance,2024-08-09 00:37:23,15m,0.6512,37733.06768,134.92469,0.0035885998,57943.9,2460293.92112327,-104.8,-0.0018053807,42.43,42.48,42.42,42.46,21.4,0.0300000000000011,0.0007070469007777
2024-08-08 15:45:00,ILVUSDT,66b4f47e74a4db6d2d4353be,1723131900000,Binance,2024-08-09 00:37:23,15m,0.6492,37562.0628,-171.00488,-0.0045319634,57859.0,2463394.10033565,-84.9,-0.0014652103,42.58,42.65,42.55,42.58,27.5,0.0,0.0
