,symbol,rate,time
216,BTCUSDT,-0.00015149,2020-03-13 00:00:00
217,BTCUSDT,-0.00016073,2020-03-13 08:00:00
218,BTCUSDT,-0.00300000,2020-03-13 16:00:00
219,BTCUSDT,-0.00065378,2020-03-14 00:00:00
220,BTCUSDT,-0.00076421,2020-03-14 08:00:00
221,BTCUSDT,-0.00004946,2020-03-14 16:00:00
222,BTCUSDT,-0.00050325,2020-03-15 00:00:00
223,BTCUSDT,-0.00047893,2020-03-15 08:00:00
224,BTCUSDT,-0.00054208,2020-03-15 16:00:00
225,BTCUSDT,-0.00048790,2020-03-16 00:00:00
226,BTCUSDT,-0.00028282,2020-03-16 08:00:00
227,BTCUSDT,-0.00036873,2020-03-16 16:00:00
228,BTCUSDT,-0.00090358,2020-03-17 00:00:00
229,BTCUSDT,-0.00023830,2020-03-17 08:00:00
230,BTCUSDT,-0.00003681,2020-03-17 16:00:00
231,BTCUSDT,-0.00010573,2020-03-18 00:00:00
232,BTCUSDT,-0.00014706,2020-03-18 08:00:00
233,BTCUSDT,-0.00035528,2020-03-18 16:00:00
234,BTCUSDT,-0.00033374,2020-03-19 00:00:00
235,BTCUSDT,-0.00015042,2020-03-19 08:00:00
236,BTCUSDT,-0.00022004,2020-03-19 16:00:00
237,BTCUSDT,-0.00027089,2020-03-20 00:00:00
238,BTCUSDT,-0.00015469,2020-03-20 08:00:00
239,BTCUSDT,-0.00001171,2020-03-20 16:00:00
240,BTCUSDT,0.00010000,2020-03-21 00:00:00
241,BTCUSDT,0.00008327,2020-03-21 08:00:00
242,BTCUSDT,-0.00000915,2020-03-21 16:00:00
243,BTCUSDT,-0.00011557,2020-03-22 00:00:00
244,BTCUSDT,-0.00002842,2020-03-22 08:00:00
245,BTCUSDT,0.00010000,2020-03-22 16:00:00
246,BTCUSDT,0.00000224,2020-03-23 00:00:00
247,BTCUSDT,-0.00016796,2020-03-23 08:00:00
248,BTCUSDT,-0.00016295,2020-03-23 16:00:00
249,BTCUSDT,0.00010000,2020-03-24 00:00:00
250,BTCUSDT,0.00010000,2020-03-24 08:00:00
251,BTCUSDT,0.00010000,2020-03-24 16:00:00
252,BTCUSDT,0.00010000,2020-03-25 00:00:00
253,BTCUSDT,0.00010000,2020-03-25 08:00:00
254,BTCUSDT,0.00009958,2020-03-25 16:00:00
255,BTCUSDT,0.00009813,2020-03-26 00:00:00
256,BTCUSDT,-0.00001620,2020-03-26 08:00:00
257,BTCUSDT,0.00010000,2020-03-26 16:00:00
258,BTCUSDT,0.00001599,2020-03-27 00:00:00
259,BTCUSDT,0.00006223,2020-03-27 08:00:00
260,BTCUSDT,0.00006838,2020-03-27 16:00:00
261,BTCUSDT,0.00000148,2020-03-28 00:00:00
262,BTCUSDT,-0.00012203,2020-03-28 08:00:00
263,BTCUSDT,-0.00041263,2020-03-28 16:00:00
264,BTCUSDT,-0.00021650,2020-03-29 00:00:00
265,BTCUSDT,-0.00023282,2020-03-29 08:00:00
266,BTCUSDT,-0.00029120,2020-03-29 16:00:00
267,BTCUSDT,-0.00025613,2020-03-30 00:00:00
268,BTCUSDT,-0.00064310,2020-03-30 08:00:00
269,BTCUSDT,-0.00033817,2020-03-30 16:00:00
270,BTCUSDT,-0.00006982,2020-03-31 00:00:00
271,BTCUSDT,-0.00005383,2020-03-31 08:00:00
272,BTCUSDT,-0.00015273,2020-03-31 16:00:00
273,BTCUSDT,-0.00016200,2020-04-01 00:00:00
274,BTCUSDT,-0.00009237,2020-04-01 08:00:00
275,BTCUSDT,-0.00048680,2020-04-01 16:00:00
276,BTCUSDT,-0.00034983,2020-04-02 00:00:00
277,BTCUSDT,-0.00019330,2020-04-02 08:00:00
278,BTCUSDT,0.00003280,2020-04-02 16:00:00
279,BTCUSDT,0.00009417,2020-04-03 00:00:00
280,BTCUSDT,0.00009047,2020-04-03 08:00:00
281,BTCUSDT,0.00000079,2020-04-03 16:00:00
282,BTCUSDT,0.00010000,2020-04-04 00:00:00
283,BTCUSDT,0.00006184,2020-04-04 08:00:00
284,BTCUSDT,0.00005655,2020-04-04 16:00:00
285,BTCUSDT,-0.00007770,2020-04-05 00:00:00
286,BTCUSDT,-0.00004495,2020-04-05 08:00:00
287,BTCUSDT,0.00004198,2020-04-05 16:00:00
288,BTCUSDT,0.00003859,2020-04-06 00:00:00
289,BTCUSDT,0.00002364,2020-04-06 08:00:00
290,BTCUSDT,0.00000654,2020-04-06 16:00:00
291,BTCUSDT,-0.00008471,2020-04-07 00:00:00
292,BTCUSDT,-0.00012883,2020-04-07 08:00:00
293,BTCUSDT,-0.00002915,2020-04-07 16:00:00
294,BTCUSDT,0.00001131,2020-04-08 00:00:00
295,BTCUSDT,-0.00002763,2020-04-08 08:00:00
296,BTCUSDT,0.00010000,2020-04-08 16:00:00
297,BTCUSDT,0.00006677,2020-04-09 00:00:00
