,capacity,turnover,open,high,low,close,change,transaction,trend,MA5
2024-01-03,40134497,23267025945,584.0,585.0,576.0,578.0,-15.0,56916,8,589.8
2024-01-04,18063758,10466284102,580.0,581.0,577.0,580.0,2.0,15010,8,587.4
2024-01-05,22008878,12685460114,578.0,580.0,574.0,576.0,-4.0,28660,7,584.0
2024-01-08,19270119,11232942053,582.0,585.0,579.0,583.0,7.0,19950,8,582.0
2024-01-09,23718766,13909252422,588.0,589.0,583.0,586.0,3.0,23975,9,580.6
2024-01-10,13708117,8006229126,581.0,586.0,580.0,584.0,-2.0,16104,9,581.8
2024-01-11,27842729,16323168586,586.0,589.0,583.0,586.0,2.0,20754,10,583.0
2024-01-12,17636558,10304253419,581.0,588.0,581.0,584.0,-2.0,15765,9,584.6
2024-01-15,21900687,12873769022,590.0,590.0,585.0,586.0,2.0,21886,10,585.2
2024-01-16,28889681,16817280777,581.0,588.0,579.0,580.0,-6.0,21938,9,584.0
2024-01-17,46857735,27229863028,583.0,584.0,578.0,581.0,1.0,28790,9,583.4
2024-01-18,36746623,21575062923,586.0,589.0,585.0,588.0,7.0,28621,10,583.8
2024-01-19,176166037,109423769320,625.0,627.0,614.0,626.0,38.0,207364,11,592.2
2024-01-22,70829523,44436449501,633.0,633.0,623.0,626.0,0.0,56376,12,600.2
2024-01-23,45761889,28681559251,629.0,629.0,622.0,628.0,2.0,34729,13,609.8
2024-01-24,29905121,18779693566,628.0,630.0,624.0,627.0,-1.0,27062,13,619.0
2024-01-25,59214638,37803501446,635.0,642.0,633.0,642.0,15.0,85006,14,629.8
2024-01-26,44103850,28392638215,644.0,646.0,639.0,644.0,2.0,41691,15,633.4
2024-01-29,29828008,19268444564,646.0,648.0,644.0,648.0,4.0,32347,16,637.8
2024-01-30,40398877,26028211247,642.0,647.0,642.0,642.0,-6.0,35002,16,640.6
2024-01-31,47554701,29978630024,634.0,637.0,626.0,628.0,-14.0,61811,15,640.8
2024-02-01,46924943,29237425981,625.0,628.0,619.0,628.0,0.0,51671,15,638.0
2024-02-02,27797894,17563853315,633.0,635.0,628.0,635.0,7.0,22257,15,636.2
2024-02-05,48037344,30931242935,645.0,647.0,638.0,646.0,11.0,51065,16,635.8
2024-02-15,132263803,92592826951,709.0,709.0,693.0,697.0,51.0,130374,17,646.8
2024-02-16,48963167,33742716965,697.0,699.0,683.0,683.0,-14.0,56882,17,657.8
2024-02-19,36366837,24665534552,674.0,682.0,674.0,678.0,-5.0,35240,17,667.8
2024-02-20,31403730,21494427969,675.0,688.0,675.0,687.0,9.0,32847,18,678.2
2024-02-21,31980543,21748906940,678.0,683.0,678.0,681.0,-6.0,36004,17,685.2
2024-02-22,34269392,23664176835,695.0,695.0,685.0,692.0,11.0,36998,18,684.2
2024-02-23,48404478,33847447281,701.0,703.0,696.0,697.0,5.0,48018,19,687.0
2024-02-26,29976379,20917136411,700.0,700.0,695.0,698.0,1.0,25850,20,691.0
2024-02-27,35389548,24647159479,700.0,701.0,691.0,698.0,0.0,31145,21,693.2
2024-02-29,59337072,40973093720,691.0,698.0,688.0,690.0,-8.0,39066,20,695.0
2024-03-01,24167721,16699995060,697.0,697.0,688.0,689.0,-1.0,26282,19,694.4
2024-03-04,97210112,69868348694,714.0,725.0,711.0,725.0,36.0,125799,20,700.0
2024-03-05,73299411,53751887376,735.0,738.0,728.0,730.0,5.0,69851,21,706.4
2024-03-06,52464833,38203868985,718.0,738.0,717.0,735.0,5.0,49897,22,713.8
2024-03-07,80382406,61221034146,755.0,769.0,754.0,760.0,25.0,96348,23,727.8
2024-03-08,98069174,77295575097,795.0,796.0,772.0,784.0,24.0,110758,24,746.8
2024-03-11,73436931,56348050108,768.0,778.0,761.0,766.0,-18.0,107368,24,755.0
2024-03-12,63336798,48288411581,757.0,771.0,754.0,770.0,4.0,56154,25,763.0
2024-03-13,43130896,33672441212,785.0,785.0,777.0,779.0,9.0,37744,26,771.8
2024-03-14,48964017,38196293503,779.0,785.0,770.0,784.0,5.0,35137,27,776.6
2024-03-15,80580846,61451780435,771.0,777.0,753.0,753.0,-31.0,95014,26,770.4
2024-03-18,46006400,34967084535,754.0,765.0,754.0,764.0,0.0,40073,26,770.0
2024-03-19,32078900,24399917859,758.0,765.0,755.0,762.0,-2.0,31208,25,768.4
2024-03-20,48788389,37117091830,764.0,769.0,752.0,758.0,-4.0,46702,24,764.2
2024-03-21,47759094,37203673872,773.0,784.0,772.0,784.0,26.0,48467,25,764.2
2024-03-22,32629749,25521571701,788.0,789.0,775.0,785.0,1.0,33054,26,770.6
2024-03-25,21223414,16612693369,783.0,788.0,779.0,780.0,-5.0,24794,26,773.8
2024-03-26,43103294,33847261033,788.0,792.0,776.0,782.0,2.0,35046,27,777.8
2024-03-27,19732209,15418346943,785.0,785.0,779.0,779.0,-3.0,21006,26,782.0
2024-03-28,28393398,21889883699,774.0,776.0,768.0,769.0,-10.0,39848,25,779.0
2024-03-29,20212820,15682908766,769.0,781.0,768.0,779.0,10.0,18110,26,777.8
2024-04-01,22348250,17301753062,783.0,783.0,769.0,770.0,-9.0,28192,25,775.8
2024-04-02,42219075,33230356267,784.0,790.0,783.0,790.0,20.0,41138,26,777.4
2024-04-03,32909892,25719094412,783.0,785.0,778.0,780.0,-10.0,36003,26,777.6
2024-04-08,40567580,31925988285,789.0,792.0,783.0,783.0,3.0,29304,27,780.4
2024-04-09,61642573,49946542596,795.0,820.0,792.0,819.0,36.0,89138,28,788.4
2024-04-10,31109466,25358780514,815.0,819.0,810.0,815.0,-4.0,39131,28,797.4
2024-04-11,27772972,22655121636,811.0,820.0,811.0,820.0,5.0,34739,29,803.4
2024-04-12,32473155,26663806808,823.0,826.0,817.0,818.0,-2.0,38091,29,811.0
2024-04-15,41251141,33300372097,804.0,812.0,803.0,806.0,-12.0,60451,28,815.6
2024-04-16,54120813,42833069476,802.0,803.0,785.0,788.0,-18.0,127956,27,809.4
